YB1950,Sample,Aulacoseira italica,Cyclotella cf. elgeri,Cyclotella michiganiana,Cyclotella bodanica var. lemanica,Fragilaria capucina vaucheriae,Fragilaria crotonensis,Fragilaria parasitica,Psuedostaurosira brevistriata,Staurosira construens construens,Staurosirella leptostauron,Staurosirella pinnata,Synedra ulna ulna,Tabellaria flocculosa,Acnanthidium minutissimum,Cocconeis placentula v. lineata,Aneumastus tuscula,Anomoeoneis costata,Anomoeoneis sphaerophora ,Anomoeoneis sphaerophora f. sculpta,Brachysira vitrea,Caloneis molaris,Caloneis pulchra,Caloneis silicula,Caloneis thermalis,Caloneis undulata,Craticula cuspidata v. ambigua,Craticula cuspidata v. cuspidata,Craticula halophila,Diploneis oblongella,Diploneis cf. parma,Hippodonta capitata v. capitata,Hippodonta capitata v. hungarica,Luticola mutica,Luticola nivalis,Mastogloia grevillei,Mastogloia smithii v. lacustris,Navicula abiskoensis,Navicula cryptocephala,Navicula digitoradiata,Navicula diluviana,Navicula gysingensis? (festiva?),Navicula lanceolata v. lanceolata,Navicula cf. oblonga (microstauron),Navicula nivalis,Navicula menisculus v. menisculus,Navicula veneta,Neidium ampliatum,Pinnularia appendiculata,Pinnularia borealis v. rectangularis,Pinnularia brebissoni ,Pinnularia divergentissima,Pinnularia streptoraphe v. minor,Sellaphora bacillum,Sellaphora laevissima,Sellaphora pupula v. rectangularis,Stauroneis phonecitron v. gracillis,Amphora coffeiformis,Amphora libyca,Amphora pediculus,Amphora subcapitata,Amphora veneta,Cymbella affinis,Cymbella cistula,Cymbella cymbiformis,Cymbella delicatula,Cymbella ehrenbergii,Cymbella cf. hybrida,Cymbella leptoceros,Cymbella mexicana,Cymbella proxima,Cymbella subaequalis,Encyonema evergladianum,Encyonema mesiana,Encyonema minuta,Encyonema muellerii,Encyonema norwegica,Encyonema silesiaca,Encyonopsis angustata (lanceolate),Encyonopsis angustata (descripta),Encyonopsis cesatii,Encyonopsis falaisensis,Encyonopsis microcephala,Gomphonema angustum,Gomphonema clavatum,Gomphonema minutum,Gomphonema parvulum v. parvulum,Gomphonema subtile,Navicella pusilla,Entomoeoneis elata,Hantzschia amphioxys,Nitzschia alpina,Nitzschia amphibia f. amphibia,Nitzschia fonticola,Nitzschia frustulum v. bulnheimiana,Nitzschia gisela,Nitzschia palea,Nitzschia perminuta,Nitzschia subacicularis,Nitzschia vitrea,Epithemia adnata,Epithemia argus,Epithemia sorex,Epithemia turgida,Epithemia turgida v. granulata,Denticula kuetzingii,Rhopalodia gibba,Surrirellales,Surirella brebissoni,Surirella linearis constricta
-5454.68,Foy-592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01320132,0,0,0,0,0,0,0,0,0,0,0.00990099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02310231,0,0,0,0,0,0,0,0.04620462,0,0,0,0,0.02970297,0.435643564,0,0,0,0.02640264,0,0,0.349834983,0.00660066,0,0,0,0.00990099,0.02970297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00660066,0,0,0,0,0,0,0.01320132,0
-5463.11,Foy-593,0,0,0,0,0.003039514,0,0,0,0.003039514,0,0,0,0,0,0.003039514,0,0.021276596,0,0,0,0,0,0,0,0.003039514,0,0,0.006079027,0,0,0,0,0,0,0,0.003039514,0,0,0,0,0,0,0.006079027,0,0,0,0.003039514,0,0,0.015197568,0,0,0,0,0,0,0,0.051671733,0,0,0,0,0.036474164,0.407294833,0,0,0,0.018237082,0,0,0.331306991,0.003039514,0,0,0,0.015197568,0.039513678,0,0,0,0,0,0,0.006079027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006079027,0,0,0,0,0,0,0.018237082,0
-5471.5,Foy-594,0,0,0.002985075,0,0.008955224,0,0,0,0,0,0,0,0,0,0,0,0.07761194,0,0,0,0,0,0,0,0,0,0,0.002985075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.023880597,0,0,0,0,0,0,0,0.107462687,0,0.005970149,0,0,0.03880597,0.298507463,0,0,0,0.011940299,0,0,0.325373134,0.002985075,0,0,0,0.005970149,0.023880597,0,0,0,0,0,0,0,0.002985075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005970149,0,0,0,0,0,0,0.053731343,0
-5479.84,Foy-595,0,0,0.003095975,0,0.015479876,0,0,0,0,0,0,0,0,0,0,0,0.086687307,0,0,0,0,0,0,0,0,0,0.003095975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012383901,0,0,0,0,0,0,0,0.055727554,0,0,0,0,0.012383901,0.365325077,0,0,0,0.027863777,0,0,0.306501548,0.003095975,0,0,0,0,0.024767802,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.083591331,0
-5488.15,Foy-596,0,0,0.025396825,0,0.073015873,0,0,0,0.003174603,0,0,0,0,0.003174603,0.003174603,0,0.003174603,0,0,0,0,0,0,0,0,0,0.006349206,0.003174603,0,0,0,0,0.003174603,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003174603,0,0,0.012698413,0,0,0,0,0.006349206,0,0,0.019047619,0,0.00952381,0,0,0.025396825,0.485714286,0,0,0,0.053968254,0,0,0.165079365,0.00952381,0,0,0,0,0.041269841,0,0.00952381,0,0,0,0,0,0,0,0,0,0,0.006349206,0,0,0,0,0,0,0,0,0,0,0.003174603,0,0,0,0,0,0,0.025396825,0
-5496.42,Foy-597,0,0,0.214285714,0,0.037142857,0,0,0,0,0,0,0,0,0,0.008571429,0,0.005714286,0,0,0,0,0,0,0,0.002857143,0,0,0.005714286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005714286,0,0,0,0,0,0,0,0.031428571,0,0.002857143,0,0,0.045714286,0.342857143,0,0,0,0.034285714,0,0,0.16,0,0,0,0,0.005714286,0.062857143,0,0.011428571,0,0,0,0,0,0.005714286,0,0,0.002857143,0,0.005714286,0,0,0,0,0,0,0,0,0,0,0.002857143,0,0,0,0,0,0,0.005714286,0
-5504.65,Foy-598,0,0,0.506666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006666667,0,0,0,0,0.036666667,0.22,0,0,0,0.04,0,0,0.096666667,0.02,0,0,0,0.016666667,0.026666667,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016666667,0,0,0,0,0,0,0.003333333,0
-5512.84,Foy-599,0,0,0.7,0,0.01,0,0,0,0,0,0,0,0,0,0.003333333,0,0.01,0,0,0,0,0,0,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0,0,0,0,0,0.003333333,0,0,0,0.006666667,0,0,0.003333333,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0.01,0.1,0,0,0,0.02,0,0,0.066666667,0.016666667,0,0,0,0,0.01,0,0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-5521,Foy-600,0,0,0.01980198,0,0.00990099,0,0,0,0,0,0,0,0,0,0,0,0.125412541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02310231,0,0,0,0,0,0,0,0.059405941,0,0.00660066,0,0,0.00660066,0.346534653,0,0,0,0.02640264,0,0,0.330033003,0,0,0,0,0,0.02310231,0,0.00330033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01980198,0
-5529.11,Foy-601,0,0,0.061889251,0,0.03257329,0,0,0,0,0,0,0,0,0,0,0,0.029315961,0,0,0,0,0,0,0,0,0,0,0.016286645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003257329,0,0,0.006514658,0,0,0,0,0.003257329,0,0,0.03257329,0,0.009771987,0,0,0.019543974,0.442996743,0,0,0,0.026058632,0,0,0.19218241,0,0,0,0,0,0.061889251,0,0.016286645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045602606,0
-5537.2,Foy-602,0,0,0.039755352,0,0.021406728,0,0,0,0,0,0,0,0,0,0.009174312,0,0.03058104,0,0,0,0,0,0,0,0,0,0,0.006116208,0,0,0,0,0.006116208,0,0.003058104,0,0,0,0,0,0,0,0,0,0,0,0.006116208,0,0,0.009174312,0,0,0,0,0,0,0,0.033639144,0.003058104,0,0,0,0.073394495,0.425076453,0,0,0,0.051987768,0,0,0.168195719,0.018348624,0,0,0,0.009174312,0.055045872,0,0.009174312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.021406728,0
-5545.24,Foy-603,0,0,0.084639498,0,0.003134796,0,0,0,0,0,0,0,0,0,0.003134796,0,0.031347962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003134796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009404389,0,0,0,0,0,0,0,0.02507837,0,0.003134796,0,0,0.065830721,0.451410658,0,0,0,0.065830721,0,0,0.147335423,0,0,0,0,0,0.043887147,0,0.018808777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003134796,0,0,0,0,0,0,0.040752351,0
-5553.25,Foy-604,0,0,0.37654321,0,0.012345679,0,0,0,0,0,0,0,0,0,0.00308642,0.00308642,0.012345679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00308642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018518519,0,0,0,0,0.00308642,0,0,0.00308642,0,0,0,0,0.061728395,0.314814815,0,0,0,0.024691358,0.00308642,0,0.095679012,0,0,0,0,0.00308642,0.024691358,0,0.027777778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.009259259,0
-5561.23,Foy-605,0,0,0.325153374,0,0.015337423,0,0,0,0,0,0,0,0,0,0.015337423,0,0.006134969,0,0,0,0,0,0,0,0,0,0,0.012269939,0,0,0,0,0,0,0.003067485,0.009202454,0,0,0,0,0,0,0,0,0,0,0.003067485,0,0,0.003067485,0,0,0,0,0,0,0,0.018404908,0,0.006134969,0,0.006134969,0.036809816,0.22392638,0,0,0,0.033742331,0,0,0.113496933,0.024539877,0,0,0,0.006134969,0.033742331,0,0.058282209,0,0,0,0,0,0,0,0,0,0,0.003067485,0,0.003067485,0,0,0,0,0,0,0,0,0.024539877,0,0,0,0,0,0,0.015337423,0
